vessel_id,lon,lat,speed,dt,dt_min,dt_max
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62493,37.9386,10.1,2019-04-29 20:38:23,2019-04-29 20:37:53,2019-04-29 20:38:53
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62519,37.93868,10,2019-04-29 20:38:29,2019-04-29 20:37:59,2019-04-29 20:38:59
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64106,37.94779,0.1,2019-04-29 20:38:35,2019-04-29 20:38:05,2019-04-29 20:39:05
1eee5599ef5de5c07df6698ab4d4a6e6bbe4a2be25208864a8876cf6050452ad,23.64295,37.94421,3.8,2019-04-29 20:38:38,2019-04-29 20:38:08,2019-04-29 20:39:08
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.6363,37.93985,0.1,2019-04-29 20:38:41,2019-04-29 20:38:11,2019-04-29 20:39:11
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64106,37.94779,0.1,2019-04-29 20:38:45,2019-04-29 20:38:15,2019-04-29 20:39:15
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62616,37.939,9.8,2019-04-29 20:38:47,2019-04-29 20:38:17,2019-04-29 20:39:17
1eee5599ef5de5c07df6698ab4d4a6e6bbe4a2be25208864a8876cf6050452ad,23.64301,37.94429,2.1,2019-04-29 20:38:48,2019-04-29 20:38:18,2019-04-29 20:39:18
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62202,37.938,10.3,2019-04-29 20:38:52,2019-04-29 20:38:22,2019-04-29 20:39:22
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.6265,37.93911,9.8,2019-04-29 20:38:53,2019-04-29 20:38:23,2019-04-29 20:39:23
1eee5599ef5de5c07df6698ab4d4a6e6bbe4a2be25208864a8876cf6050452ad,23.64303,37.94432,1,2019-04-29 20:38:58,2019-04-29 20:38:28,2019-04-29 20:39:28
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62683,37.93922,9.8,2019-04-29 20:38:59,2019-04-29 20:38:29,2019-04-29 20:39:29
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62744,37.93941,9.6,2019-04-29 20:39:11,2019-04-29 20:38:41,2019-04-29 20:39:41
f6bc7f1c524e9ddb5ebee6ea1012f54502556638891b604dcd17ee19cf4e2b4f,23.63998,37.94213,0.1,2019-04-29 20:39:16,2019-04-29 20:38:46,2019-04-29 20:39:46
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62779,37.9395,9.6,2019-04-29 20:39:17,2019-04-29 20:38:47,2019-04-29 20:39:47
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62373,37.93847,10.3,2019-04-29 20:39:21,2019-04-29 20:38:51,2019-04-29 20:39:51
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62428,37.93863,10.2,2019-04-29 20:39:31,2019-04-29 20:39:01,2019-04-29 20:40:01
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62875,37.93976,9.6,2019-04-29 20:39:35,2019-04-29 20:39:05,2019-04-29 20:40:05
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62905,37.93985,9.7,2019-04-29 20:39:41,2019-04-29 20:39:11,2019-04-29 20:40:11
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62973,37.94005,9.8,2019-04-29 20:39:53,2019-04-29 20:39:23,2019-04-29 20:40:23
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.62994,37.94012,9.8,2019-04-29 20:39:57,2019-04-29 20:39:27,2019-04-29 20:40:27
