id_,vessel_id,dt,lon,lat,heading,course,speed,geom
54873,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:34:49,23.64462,37.86977,333,332,16.4,0101000020E6100000F758FAD005A537405E85949F54EF4240
54908,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:35:01,23.64408,37.87058,333,332,16.4,0101000020E6100000F701486DE2A437409D465A2A6FEF4240
54943,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:35:13,23.64354,37.87139,333,332,16.4,0101000020E6100000F8AA9509BFA43740DD0720B589EF4240
54978,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:35:25,23.64305,37.87213,333,332,16.4,0101000020E61000005BB1BFEC9EA4374024EEB1F4A1EF4240
55007,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:35:36,23.64253,37.87294,334,333,16.4,0101000020E6100000EAB298D87CA4374064AF777FBCEF4240
55042,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:35:49,23.64198,37.87382,335,333,16.4,0101000020E6100000A3AF20CD58A437409D4B7155D9EF4240
55115,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:36:13,23.64098,37.87546,335,334,16.4,0101000020E6100000DC63E94317A43740637AC2120FF04240
55150,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:36:25,23.64052,37.87621,335,334,16.4,0101000020E6100000156F641EF9A33740CE3637A627F04240
55185,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:36:36,23.64002,37.87703,335,334,16.4,0101000020E610000032C9C859D8A3374031CEDF8442F04240
55224,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:36:49,23.63948,37.87792,335,334,16.4,0101000020E6100000327216F6B4A337408E40BCAE5FF04240
50987,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:13:37,23.70327,37.78403,334,333,16.4,0101000020E61000000742B28009B437409C8A54185BE44240
51138,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:14:24,23.70109,37.78725,333,331,16.5,0101000020E61000007A8D5DA27AB3374054E3A59BC4E44240
55261,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:37:01,23.63897,37.87874,335,334,16.4,0101000020E61000000820B58993A33740F1D7648D7AF04240
51310,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:15:12,23.69891,37.79049,333,332,16.6,0101000020E6100000EDD808C4EBB2374053E8BCC62EE54240
